dataset,match_id,slug,source_url,start_date,team1,team2,map_number,map_name,status,winner,loser,winner_score,loser_score,rounds_count,begin_at,veto_sequence,veto_source_note
blast_austin_major_2025,88490,complexity-vs-og-03-06-2025,https://bo3.gg/matches/complexity-vs-og-03-06-2025,2025-06-03T15:15:00.000+00:00,Complexity,OG,1,de_ancient,finished,OG,Complexity,13,3,16,2025-06-03T15:34:04.000+00:00,OG remove Train | OG remove Anubis | Complexity remove Mirage | Complexity remove Dust2 | Complexity remove Nuke | OG remove Inferno | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88553,imperial-vs-legacy-br-05-06-2025,https://bo3.gg/matches/imperial-vs-legacy-br-05-06-2025,2025-06-05T15:00:00.000+00:00,Imperial,Legacy,1,de_inferno,finished,Legacy,Imperial Esports,13,2,15,2025-06-05T15:00:32.000+00:00,Legacy remove Train | Imperial remove Ancient | Legacy pick Inferno | Imperial pick Dust2 | Imperial remove Nuke | Legacy remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88553,imperial-vs-legacy-br-05-06-2025,https://bo3.gg/matches/imperial-vs-legacy-br-05-06-2025,2025-06-05T15:00:00.000+00:00,Imperial,Legacy,2,de_dust2,finished,Imperial Esports,Legacy,13,5,18,2025-06-05T15:50:34.000+00:00,Legacy remove Train | Imperial remove Ancient | Legacy pick Inferno | Imperial pick Dust2 | Imperial remove Nuke | Legacy remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88553,imperial-vs-legacy-br-05-06-2025,https://bo3.gg/matches/imperial-vs-legacy-br-05-06-2025,2025-06-05T15:00:00.000+00:00,Imperial,Legacy,3,de_mirage,finished,Legacy,Imperial Esports,13,4,17,2025-06-05T16:31:00.000+00:00,Legacy remove Train | Imperial remove Ancient | Legacy pick Inferno | Imperial pick Dust2 | Imperial remove Nuke | Legacy remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88554,complexity-vs-tyloo-cs-go-05-06-2025,https://bo3.gg/matches/complexity-vs-tyloo-cs-go-05-06-2025,2025-06-05T15:00:00.000+00:00,Complexity,TYLOO,1,de_train,finished,Tyloo,Complexity Gaming,13,8,21,2025-06-05T15:01:26.000+00:00,Complexity remove Mirage | TYLOO remove Dust2 | Complexity pick Train | TYLOO pick Inferno | TYLOO remove Ancient | Complexity remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88554,complexity-vs-tyloo-cs-go-05-06-2025,https://bo3.gg/matches/complexity-vs-tyloo-cs-go-05-06-2025,2025-06-05T15:00:00.000+00:00,Complexity,TYLOO,2,de_inferno,finished,Tyloo,Complexity Gaming,13,11,24,2025-06-05T16:02:30.000+00:00,Complexity remove Mirage | TYLOO remove Dust2 | Complexity pick Train | TYLOO pick Inferno | TYLOO remove Ancient | Complexity remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88556,og-vs-nrg-05-06-2025,https://bo3.gg/matches/og-vs-nrg-05-06-2025,2025-06-05T17:10:00.000+00:00,OG,NRG,1,de_mirage,finished,OG,NRG,13,7,20,2025-06-05T17:11:43.000+00:00,NRG remove Ancient | OG remove Train | NRG pick Mirage | OG pick Nuke | OG remove Dust2 | NRG remove Anubis | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88556,og-vs-nrg-05-06-2025,https://bo3.gg/matches/og-vs-nrg-05-06-2025,2025-06-05T17:10:00.000+00:00,OG,NRG,2,de_nuke,finished,OG,NRG,13,3,16,2025-06-05T18:05:00.000+00:00,NRG remove Ancient | OG remove Train | NRG pick Mirage | OG pick Nuke | OG remove Dust2 | NRG remove Anubis | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88555,lynn-vision-vs-chinggis-warriors-05-06-2025,https://bo3.gg/matches/lynn-vision-vs-chinggis-warriors-05-06-2025,2025-06-05T17:30:00.000+00:00,Lynn Vision,Chinggis Warriors,1,de_inferno,finished,Lynn Vision,Chinggis Warriors,13,9,22,2025-06-05T17:33:40.000+00:00,Chinggis Warriors remove Dust2 | Lynn Vision remove Mirage | Chinggis Warriors pick Inferno | Lynn Vision pick Nuke | Lynn Vision remove Anubis | Chinggis Warriors remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88555,lynn-vision-vs-chinggis-warriors-05-06-2025,https://bo3.gg/matches/lynn-vision-vs-chinggis-warriors-05-06-2025,2025-06-05T17:30:00.000+00:00,Lynn Vision,Chinggis Warriors,2,de_nuke,finished,Chinggis Warriors,Lynn Vision,13,10,23,2025-06-05T18:44:26.000+00:00,Chinggis Warriors remove Dust2 | Lynn Vision remove Mirage | Chinggis Warriors pick Inferno | Lynn Vision pick Nuke | Lynn Vision remove Anubis | Chinggis Warriors remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88555,lynn-vision-vs-chinggis-warriors-05-06-2025,https://bo3.gg/matches/lynn-vision-vs-chinggis-warriors-05-06-2025,2025-06-05T17:30:00.000+00:00,Lynn Vision,Chinggis Warriors,3,de_ancient,finished,Lynn Vision,Chinggis Warriors,16,13,29,2025-06-05T19:48:49.000+00:00,Chinggis Warriors remove Dust2 | Lynn Vision remove Mirage | Chinggis Warriors pick Inferno | Lynn Vision pick Nuke | Lynn Vision remove Anubis | Chinggis Warriors remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88558,betboom-team-vs-wildcard-gaming-05-06-2025,https://bo3.gg/matches/betboom-team-vs-wildcard-gaming-05-06-2025,2025-06-05T18:50:00.000+00:00,BetBoom,Wildcard,1,de_nuke,finished,BetBoom,Wildcard,19,17,36,2025-06-05T18:58:00.000+00:00,Wildcard remove Mirage | BetBoom remove Inferno | Wildcard pick Nuke | BetBoom pick Anubis | BetBoom remove Ancient | Wildcard remove Dust2 | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
