team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
THUNDER dOWNUNDER,de_dust2,0.00,1,0.00,13.33,,,,bo3.gg match maps + team map_pool aggregate
THUNDER dOWNUNDER,de_inferno,33.33,6,30.56,0.00,,,,bo3.gg match maps + team map_pool aggregate
THUNDER dOWNUNDER,de_mirage,50.00,0,0.00,49.33,,,,bo3.gg match maps + team map_pool aggregate
THUNDER dOWNUNDER,de_nuke,0.00,3,44.44,2.67,,,,bo3.gg match maps + team map_pool aggregate
THUNDER dOWNUNDER,de_overpass,0.00,7,0.00,14.67,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_ancient,26.67,15,0.00,16.18,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_anubis,0.00,2,0.00,19.12,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_dust2,50.00,0,0.00,48.53,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_inferno,63.64,11,35.48,2.94,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_mirage,66.67,12,38.71,2.94,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_nuke,57.14,7,6.45,10.29,,,,bo3.gg match maps + team map_pool aggregate
TYLOO,de_overpass,50.00,10,19.35,0.00,,,,bo3.gg match maps + team map_pool aggregate
