team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
Chinggis Warriors,Ancient,55.88,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Dust2,49.49,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Inferno,30.58,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Mirage,37.91,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Chinggis Warriors,Nuke,48.67,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Ancient,37.89,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Inferno,34.11,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Mirage,46.79,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Nuke,37.61,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
ECSTATIC,Overpass,61.51,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Anubis,38.62,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Dust2,37.75,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Inferno,38.54,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Mirage,50.66,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
EYEBALLERS,Nuke,60.87,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Anubis,37.37,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Dust2,36.80,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Mirage,37.16,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Eternal Fire,Overpass,39.57,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Ancient,50.16,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Mirage,37.96,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Nuke,65.24,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FOKUS,Overpass,61.23,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Dust2,46.75,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Inferno,70.16,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Mirage,51.21,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Nuke,50.92,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FURIA,Overpass,55.99,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Ancient,62.14,7,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Anubis,51.88,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Dust2,62.35,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Mirage,66.42,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Nuke,68.52,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Overpass,57.38,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Ancient,62.16,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Anubis,37.24,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Mirage,39.11,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Overpass,37.38,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Ancient,57.35,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Dust2,64.37,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Inferno,51.39,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Mirage,63.93,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Ancient,37.43,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Mirage,38.51,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
