team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
FaZe,Ancient,91.14,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Anubis,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Mirage,11.26,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Overpass,9.65,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Ancient,67.33,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Dust2,92.35,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Inferno,52.70,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Mirage,95.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Ancient,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Mirage,8.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Anubis,9.66,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Inferno,5.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Nuke,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Ancient,63.00,3,0.00,30.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Anubis,95.00,4,60.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Dust2,59.62,5,26.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Inferno,89.54,1,6.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Mirage,33.80,3,0.00,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Nuke,29.50,4,6.67,10.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Ancient,76.37,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Anubis,35.40,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Dust2,95.00,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Inferno,62.60,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Mirage,51.73,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Overpass,67.60,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Ancient,56.15,7,10.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Anubis,9.66,1,0.00,28.57,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Dust2,49.98,10,65.00,2.04,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Inferno,27.70,4,5.00,14.29,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Mirage,7.26,1,0.00,38.78,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Nuke,28.97,10,5.00,8.16,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Overpass,63.87,3,15.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Ancient,90.34,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Mirage,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Nuke,11.36,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Overpass,6.45,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Ancient,86.07,8,3.70,8.70,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Anubis,28.05,4,0.00,26.09,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Dust2,7.33,3,0.00,40.58,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Inferno,63.02,14,37.04,2.90,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Mirage,58.04,17,44.44,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Nuke,63.87,11,7.41,10.14,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Overpass,50.37,6,7.41,11.59,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Ancient,10.46,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
