dataset,match_id,slug,source_url,start_date,end_date,status,bo_type,tier,tier_rank,team1_id,team1,team1_rank_bo3,team1_vrs_rank,team1_vrs_points,team2_id,team2,team2_rank_bo3,team2_vrs_rank,team2_vrs_points,winner_team_id,winner,team1_score,team2_score,tournament_id,tournament,tournament_slug,veto_sequence,veto_source_note
blast_austin_major_2025,88550,heroic-vs-flyquest-04-06-2025,https://bo3.gg/matches/heroic-vs-flyquest-04-06-2025,2025-06-04T16:45:00.000+00:00,2025-06-04T19:36:02.111+00:00,finished,3,s,1,759,HEROIC,20,,,10398,FlyQuest,74,,,759,HEROIC,2,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,FlyQuest remove Train | HEROIC remove Inferno | FlyQuest pick Ancient | HEROIC pick Anubis | HEROIC remove Dust2 | FlyQuest remove Nuke | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88549,b8-vs-wildcard-gaming-04-06-2025,https://bo3.gg/matches/b8-vs-wildcard-gaming-04-06-2025,2025-06-04T17:00:00.000+00:00,2025-06-04T19:46:31.563+00:00,finished,3,s,1,1539,B8,16,,,6062,Wildcard,32,,,1539,B8,2,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Wildcard remove Mirage | B8 remove Nuke | Wildcard pick Train | B8 pick Dust2 | B8 remove Anubis | Wildcard remove Ancient | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88551,imperial-vs-metizport-04-06-2025,https://bo3.gg/matches/imperial-vs-metizport-04-06-2025,2025-06-04T19:40:00.000+00:00,2025-06-04T21:41:31.185+00:00,finished,3,s,1,1430,Imperial,54,,,1578,Metizport,91,,,1430,Imperial,2,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Metizport remove Train | Imperial remove Ancient | Metizport pick Nuke | Imperial pick Dust2 | Imperial remove Anubis | Metizport remove Inferno | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88552,chinggis-warriors-vs-fluxo-04-06-2025,https://bo3.gg/matches/chinggis-warriors-vs-fluxo-04-06-2025,2025-06-04T19:59:57.000+00:00,2025-06-04T22:39:54.057+00:00,finished,3,s,1,9974,Chinggis Warriors,92,,,3661,Fluxo,68,,,9974,Chinggis Warriors,2,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Chinggis Warriors remove Train | Fluxo remove Anubis | Chinggis Warriors pick Ancient | Fluxo pick Mirage | Fluxo remove Inferno | Chinggis Warriors remove Dust2 | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88553,imperial-vs-legacy-br-05-06-2025,https://bo3.gg/matches/imperial-vs-legacy-br-05-06-2025,2025-06-05T15:00:00.000+00:00,2025-06-05T17:30:40.773+00:00,finished,3,s,1,1430,Imperial,54,,,8118,Legacy,14,,,8118,Legacy,1,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Legacy remove Train | Imperial remove Ancient | Legacy pick Inferno | Imperial pick Dust2 | Imperial remove Nuke | Legacy remove Anubis | Mirage left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88554,complexity-vs-tyloo-cs-go-05-06-2025,https://bo3.gg/matches/complexity-vs-tyloo-cs-go-05-06-2025,2025-06-05T15:00:00.000+00:00,2025-06-05T17:01:38.438+00:00,finished,3,s,1,703,Complexity,None,,,757,TYLOO,34,,,757,TYLOO,0,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Complexity remove Mirage | TYLOO remove Dust2 | Complexity pick Train | TYLOO pick Inferno | TYLOO remove Ancient | Complexity remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88556,og-vs-nrg-05-06-2025,https://bo3.gg/matches/og-vs-nrg-05-06-2025,2025-06-05T17:10:00.000+00:00,2025-06-05T18:43:13.849+00:00,finished,3,s,1,395,OG,73,,,751,NRG,31,,,395,OG,2,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,NRG remove Ancient | OG remove Train | NRG pick Mirage | OG pick Nuke | OG remove Dust2 | NRG remove Anubis | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88555,lynn-vision-vs-chinggis-warriors-05-06-2025,https://bo3.gg/matches/lynn-vision-vs-chinggis-warriors-05-06-2025,2025-06-05T17:30:00.000+00:00,2025-06-05T20:52:38.923+00:00,finished,3,s,1,476,Lynn Vision,49,,,9974,Chinggis Warriors,92,,,476,Lynn Vision,2,1,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Chinggis Warriors remove Dust2 | Lynn Vision remove Mirage | Chinggis Warriors pick Inferno | Lynn Vision pick Nuke | Lynn Vision remove Anubis | Chinggis Warriors remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88558,betboom-team-vs-wildcard-gaming-05-06-2025,https://bo3.gg/matches/betboom-team-vs-wildcard-gaming-05-06-2025,2025-06-05T18:50:00.000+00:00,2025-06-05T21:32:33.235+00:00,finished,3,s,1,7498,BetBoom,21,,,6062,Wildcard,32,,,7498,BetBoom,2,0,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Wildcard remove Mirage | BetBoom remove Inferno | Wildcard pick Nuke | BetBoom pick Anubis | BetBoom remove Ancient | Wildcard remove Dust2 | Train left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88557,flyquest-vs-nemiga-05-06-2025,https://bo3.gg/matches/flyquest-vs-nemiga-05-06-2025,2025-06-05T21:00:00.000+00:00,2025-06-05T23:17:52.505+00:00,finished,3,s,1,10398,FlyQuest,74,,,655,Nemiga,35,,,655,Nemiga,0,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Nemiga remove Nuke | FlyQuest remove Train | Nemiga pick Ancient | FlyQuest pick Inferno | FlyQuest remove Dust2 | Nemiga remove Mirage | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88559,nrg-vs-lynn-vision-06-06-2025,https://bo3.gg/matches/nrg-vs-lynn-vision-06-06-2025,2025-06-06T15:00:00.000+00:00,2025-06-06T17:39:51.832+00:00,finished,3,s,1,751,NRG,31,,,476,Lynn Vision,49,,,476,Lynn Vision,0,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Lynn Vision remove Mirage | NRG remove Ancient | Lynn Vision pick Dust2 | NRG pick Inferno | NRG remove Nuke | Lynn Vision remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88560,wildcard-gaming-vs-legacy-br-06-06-2025,https://bo3.gg/matches/wildcard-gaming-vs-legacy-br-06-06-2025,2025-06-06T18:05:00.000+00:00,2025-06-06T19:52:45.117+00:00,finished,3,s,1,6062,Wildcard,32,,,8118,Legacy,14,,,8118,Legacy,0,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,Legacy remove Train | Wildcard remove Mirage | Legacy pick Inferno | Wildcard pick Nuke | Wildcard remove Dust2 | Legacy remove Anubis | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,88561,flyquest-vs-tyloo-cs-go-06-06-2025,https://bo3.gg/matches/flyquest-vs-tyloo-cs-go-06-06-2025,2025-06-06T20:20:00.000+00:00,2025-06-06T22:57:51.370+00:00,finished,3,s,1,10398,FlyQuest,74,,,757,TYLOO,34,,,757,TYLOO,1,2,3567,BLAST.tv Austin Major 2025 Stage 1,blast-tv-austin-major-2025-stage-1,TYLOO remove Dust2 | FlyQuest remove Train | TYLOO pick Inferno | FlyQuest pick Mirage | FlyQuest remove Ancient | TYLOO remove Nuke | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89006,faze-vs-heroic-07-06-2025,https://bo3.gg/matches/faze-vs-heroic-07-06-2025,2025-06-07T15:00:00.000+00:00,2025-06-07T15:36:04.634+00:00,finished,1,s,1,791,FaZe,22,,,759,HEROIC,20,,,791,FaZe,1,0,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,HEROIC remove Inferno | HEROIC remove Nuke | FaZe remove Train | FaZe remove Mirage | FaZe remove Ancient | HEROIC remove Anubis | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89007,falcons-esports-vs-b8-07-06-2025,https://bo3.gg/matches/falcons-esports-vs-b8-07-06-2025,2025-06-07T15:00:00.000+00:00,2025-06-07T15:51:39.118+00:00,finished,1,s,1,2713,Falcons,3,,,1539,B8,16,,,1539,B8,0,1,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,B8 remove Nuke | B8 remove Dust2 | Falcons remove Anubis | Falcons remove Mirage | Falcons remove Inferno | B8 remove Train | Ancient left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89009,virtus-pro-vs-og-07-06-2025,https://bo3.gg/matches/virtus-pro-vs-og-07-06-2025,2025-06-07T15:50:00.000+00:00,2025-06-07T16:29:53.691+00:00,finished,1,s,1,720,Virtus.pro,None,,,395,OG,73,,,720,Virtus.pro,1,0,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,OG remove Train | OG remove Dust2 | Virtus.pro remove Nuke | Virtus.pro remove Ancient | Virtus.pro remove Anubis | OG remove Mirage | Inferno left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89008,3dmax-vs-betboom-team-07-06-2025,https://bo3.gg/matches/3dmax-vs-betboom-team-07-06-2025,2025-06-07T16:09:23.000+00:00,2025-06-07T16:51:29.664+00:00,finished,1,s,1,696,3DMAX,15,,,7498,BetBoom,21,,,696,3DMAX,1,0,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,BetBoom remove Inferno | BetBoom remove Dust2 | 3DMAX remove Mirage | 3DMAX remove Nuke | 3DMAX remove Ancient | BetBoom remove Train | Anubis left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89010,furia-vs-lynn-vision-07-06-2025,https://bo3.gg/matches/furia-vs-lynn-vision-07-06-2025,2025-06-07T16:35:00.000+00:00,2025-06-07T17:21:40.412+00:00,finished,1,s,1,648,FURIA,10,,,476,Lynn Vision,49,,,648,FURIA,1,0,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,Lynn Vision remove Mirage | Lynn Vision remove Train | FURIA remove Ancient | FURIA remove Dust2 | FURIA remove Anubis | Lynn Vision remove Inferno | Nuke left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
blast_austin_major_2025,89011,pain-gaming-vs-nemiga-07-06-2025,https://bo3.gg/matches/pain-gaming-vs-nemiga-07-06-2025,2025-06-07T17:00:00.000+00:00,2025-06-07T17:48:40.974+00:00,finished,1,s,1,637,paiN,17,,,655,Nemiga,35,,,637,paiN,1,0,4523,BLAST.tv Austin Major 2025 Stage 2,blast-tv-austin-major-2025-stage-2,Nemiga remove Nuke | Nemiga remove Mirage | paiN remove Ancient | paiN remove Inferno | paiN remove Train | Nemiga remove Anubis | Dust2 left over,BO3 match detail endpoint exposes ordered match_maps veto sequence.
