team,map,win_rate,maps_played,pick_rate,ban_rate,pistol_win_rate,first_kill_round_win_rate,first_death_round_win_rate,source
FUT,Dust2,63.61,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Mirage,69.65,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Nuke,72.24,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FUT,Overpass,57.41,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Ancient,60.43,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Anubis,33.49,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Mirage,33.08,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FaZe,Overpass,33.20,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Ancient,58.20,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Dust2,65.70,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Inferno,49.29,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Falcons,Mirage,63.23,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Ancient,37.01,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fisher College,Mirage,39.49,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Anubis,38.69,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Inferno,35.52,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Fluxo,Nuke,39.24,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Ancient,50.83,3,0.00,30.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Anubis,79.66,4,60.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Dust2,52.01,5,26.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Inferno,59.41,1,6.67,6.67,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Mirage,40.62,3,0.00,13.33,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
FlyQuest,Nuke,38.76,4,6.67,10.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Ancient,63.32,5,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Anubis,45.04,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Dust2,71.74,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Inferno,55.30,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Mirage,53.01,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
G2,Overpass,59.32,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Ancient,58.59,7,10.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Anubis,42.69,1,0.00,28.57,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Dust2,56.13,10,65.00,2.04,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Inferno,42.55,4,5.00,14.29,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Mirage,41.66,1,0.00,38.78,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Nuke,35.72,10,5.00,8.16,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gaimin Gladiators,Overpass,55.61,3,15.00,4.08,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Ancient,65.56,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Mirage,40.51,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Nuke,42.01,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Galorys,Overpass,36.71,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Ancient,72.58,8,3.70,8.70,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Anubis,43.14,4,0.00,26.09,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Dust2,39.24,3,0.00,40.58,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Inferno,67.28,14,37.04,2.90,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Mirage,61.66,17,44.44,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Nuke,64.05,11,7.41,10.14,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
GamerLegion,Overpass,53.31,6,7.41,11.59,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Ancient,37.49,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Inferno,58.43,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Mirage,58.54,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Nuke,35.76,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Gentle Mates,Overpass,62.43,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Ancient,47.59,7,0.00,21.13,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Dust2,73.02,17,21.21,2.82,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Inferno,46.78,13,12.12,4.23,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Mirage,35.05,12,18.18,9.86,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Nuke,78.44,14,45.45,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HEROIC,Overpass,52.16,6,3.03,15.49,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Ancient,34.25,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Anubis,64.40,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Dust2,48.42,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Mirage,38.12,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Nuke,39.05,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
HOTU,Overpass,34.97,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Dust2,40.50,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
INFINITE,Inferno,36.86,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Inferno,37.28,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Mirage,42.23,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Imperial,Nuke,36.36,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Ancient,49.30,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Dust2,40.63,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Mirage,43.06,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Inner Circle,Overpass,39.58,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Ancient,64.42,6,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Anubis,51.09,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Dust2,53.32,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Inferno,73.55,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
JiJieHao,Mirage,60.07,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Dust2,43.29,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Inferno,36.43,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Mirage,35.26,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Johnny Speeds,Overpass,33.98,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Ancient,36.00,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Anubis,63.90,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Nuke,66.20,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
K27,Overpass,35.62,2,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Dust2,39.15,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Mirage,35.56,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Nuke,38.65,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
KOLESIE,Overpass,40.70,1,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Ancient,42.71,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Dust2,57.69,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Inferno,51.35,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Mirage,75.04,4,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Legacy,Nuke,57.65,3,0.00,0.00,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
Liquid,Ancient,31.87,14,20.00,6.15,,,,BO3 map results adjusted by VRS tier and CS2 scoreline quality
